Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,-0.20491587766720473,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,1,0,1,4,856,854,0,0.49041554265880394,1,0,2,1,3,1,2,8,6,0,5,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,0,2,2008,8,4,0.6462345203910693
2,20,3,80.0,-0.06672559051109617,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,3,4,1,2,3,1,0,978,5,0,284,1262,1,0,1,4,1262,0,0,-0.4421782410160923,0,1,2,0,3,1,3,6,6,1,4,1,1976.0,1,2,460,4,4,2,298,0,0,0,0,0,0,5,2007,8,4,0.19022244421617263
3,60,3,68.0,0.13154743019114654,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,920,1,0,1,4,920,866,0,0.648623416675081,1,0,2,1,3,1,2,6,6,1,4,1,2001.0,1,2,608,4,4,2,0,42,0,0,0,0,0,9,2008,8,4,0.8995745627104563
4,70,3,60.0,-0.07273386386570958,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,0.0,3,4,0,3,1,3,0,216,5,0,540,756,1,2,1,4,961,756,0,0.5049873205287243,1,0,1,0,3,1,2,7,6,1,2,5,1998.0,2,3,642,4,4,2,0,35,272,0,0,0,0,2,2006,8,0,-0.5106850062007982
5,60,3,84.0,0.49324548613887415,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1145,1,0,1,4,1145,1053,0,1.5062766284475304,1,0,2,1,4,1,2,9,6,1,4,1,2000.0,1,3,836,4,4,2,192,84,0,0,0,0,0,12,2008,8,4,1.34714197080804
6,50,3,85.0,0.47582149341049523,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,0.0,3,4,5,2,3,3,2,732,5,0,64,796,1,0,1,4,796,566,0,-0.23400998573151727,1,0,1,1,1,1,3,5,6,0,5,1,1993.0,2,2,480,4,4,2,40,30,0,320,0,0,700,10,2009,8,4,-0.4600169977369208
7,20,3,75.0,-0.008565504438438303,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,186.0,2,4,2,0,3,0,2,1369,5,0,317,1686,1,0,1,4,1694,0,0,0.45710862181327194,1,0,2,0,3,1,2,7,6,1,2,1,2004.0,1,2,636,4,4,2,255,57,0,0,0,0,0,8,2007,8,4,2.309834131621711
8,60,3,69.0,0.027243804755057652,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,2,240.0,3,4,1,2,3,2,0,859,1,32,216,1107,1,0,1,4,1107,983,0,1.2814549127401893,1,0,2,1,3,1,3,7,6,2,4,1,1973.0,1,2,484,4,4,2,235,204,228,0,0,0,350,11,2009,8,4,0.50267516307675
9,50,4,51.0,-0.4849014159921899,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,0.0,3,4,0,3,3,3,5,0,5,0,952,952,1,2,1,1,1022,752,0,0.623643226040932,0,0,2,0,2,2,3,8,2,2,4,5,1931.0,2,2,468,1,4,2,90,0,205,0,0,0,0,4,2008,8,0,-0.6812673013625188
10,190,3,50.0,-0.3286863087722411,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,3,4,0,3,3,3,2,851,5,0,140,991,1,0,1,4,1077,0,0,-0.8272895132925562,1,0,1,0,2,2,3,5,6,2,4,1,1939.0,1,1,205,2,4,2,0,4,0,0,0,0,0,1,2008,8,4,-0.8822504016025658
